,REF_AREA,COMMODITY,MEASURE,UNIT_MEASURE,VERSION_ID,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MULT,DECIMALS
3936,E,CPC_EX_PT,QC,T,AO_2022_2031,1990,2054.65,A,3,2
3937,E,CPC_EX_PT,QC,T,AO_2022_2031,1991,8099.46,A,3,2
3938,E,CPC_EX_PT,QC,T,AO_2022_2031,1992,9777.32,A,3,2
3939,E,CPC_EX_PT,QC,T,AO_2022_2031,1993,9799.41,A,3,2
3940,E,CPC_EX_PT,QC,T,AO_2022_2031,1994,10474.86,A,3,2
3941,E,CPC_EX_PT,QC,T,AO_2022_2031,1995,11014.16,A,3,2
3942,E,CPC_EX_PT,QC,T,AO_2022_2031,1996,11370.33,A,3,2
3943,E,CPC_EX_PT,QC,T,AO_2022_2031,1997,11832.93,A,3,2
3944,E,CPC_EX_PT,QC,T,AO_2022_2031,1998,12144.54,A,3,2
3945,E,CPC_EX_PT,QC,T,AO_2022_2031,1999,11998.97,A,3,2
3946,E,CPC_EX_PT,QC,T,AO_2022_2031,2000,11733.87,A,3,2
3947,E,CPC_EX_PT,QC,T,AO_2022_2031,2001,13292.52,A,3,2
3948,E,CPC_EX_PT,QC,T,AO_2022_2031,2002,13974.52,A,3,2
3949,E,CPC_EX_PT,QC,T,AO_2022_2031,2003,13647.92,A,3,2
3950,E,CPC_EX_PT,QC,T,AO_2022_2031,2004,14179.14,A,3,2
3951,E,CPC_EX_PT,QC,T,AO_2022_2031,2005,14890.56,A,3,2
3952,E,CPC_EX_PT,QC,T,AO_2022_2031,2006,14901.46,A,3,2
3953,E,CPC_EX_PT,QC,T,AO_2022_2031,2007,15673.1,A,3,2
3954,E,CPC_EX_PT,QC,T,AO_2022_2031,2008,16216.39,A,3,2
3955,E,CPC_EX_PT,QC,T,AO_2022_2031,2009,16364.67,A,3,2
3956,E,CPC_EX_PT,QC,T,AO_2022_2031,2010,16509.01,A,3,2
3957,E,CPC_EX_PT,QC,T,AO_2022_2031,2011,16697.25,A,3,2
3958,E,CPC_EX_PT,QC,T,AO_2022_2031,2012,17712.6,A,3,2
3959,E,CPC_EX_PT,QC,T,AO_2022_2031,2013,17919.97,A,3,2
3960,E,CPC_EX_PT,QC,T,AO_2022_2031,2014,18492.09,A,3,2
3961,E,CPC_EX_PT,QC,T,AO_2022_2031,2015,19124.52,A,3,2
3962,E,CPC_EX_PT,QC,T,AO_2022_2031,2016,19689.27,A,3,2
3963,E,CPC_EX_PT,QC,T,AO_2022_2031,2017,19935.89,A,3,2
3964,E,CPC_EX_PT,QC,T,AO_2022_2031,2018,20477.58,A,3,2
3965,E,CPC_EX_PT,QC,T,AO_2022_2031,2019,20540.11,A,3,2
3966,E,CPC_EX_PT,QC,T,AO_2022_2031,2020,20530.71,A,3,2
3967,E,CPC_EX_PT,QC,T,AO_2022_2031,2021,20660.75,A,3,2
4384,E,CPC_04,QC,T,AO_2022_2031,1990,22436.35,A,3,2
4385,E,CPC_04,QC,T,AO_2022_2031,1991,21376.46,A,3,2
4386,E,CPC_04,QC,T,AO_2022_2031,1992,20024.73,A,3,2
4387,E,CPC_04,QC,T,AO_2022_2031,1993,17794.87,A,3,2
4388,E,CPC_04,QC,T,AO_2022_2031,1994,17262.61,A,3,2
4389,E,CPC_04,QC,T,AO_2022_2031,1995,19018.6,A,3,2
4390,E,CPC_04,QC,T,AO_2022_2031,1996,19375.59,A,3,2
4391,E,CPC_04,QC,T,AO_2022_2031,1997,20212.03,A,3,2
4392,E,CPC_04,QC,T,AO_2022_2031,1998,20131.53,A,3,2
4393,E,CPC_04,QC,T,AO_2022_2031,1999,19076.7,A,3,2
4394,E,CPC_04,QC,T,AO_2022_2031,2000,19022.77,A,3,2
4395,E,CPC_04,QC,T,AO_2022_2031,2001,19395.9,A,3,2
4396,E,CPC_04,QC,T,AO_2022_2031,2002,18780.12,A,3,2
4397,E,CPC_04,QC,T,AO_2022_2031,2003,18515.23,A,3,2
4398,E,CPC_04,QC,T,AO_2022_2031,2004,18271.01,A,3,2
4399,E,CPC_04,QC,T,AO_2022_2031,2005,18426.47,A,3,2
4400,E,CPC_04,QC,T,AO_2022_2031,2006,18876.06,A,3,2
4401,E,CPC_04,QC,T,AO_2022_2031,2007,19430.27,A,3,2
4402,E,CPC_04,QC,T,AO_2022_2031,2008,19065.28,A,3,2
4403,E,CPC_04,QC,T,AO_2022_2031,2009,18406.31,A,3,2
4404,E,CPC_04,QC,T,AO_2022_2031,2010,18507.9,A,3,2
4405,E,CPC_04,QC,T,AO_2022_2031,2011,18422.73,A,3,2
4406,E,CPC_04,QC,T,AO_2022_2031,2012,17892.01,A,3,2
4407,E,CPC_04,QC,T,AO_2022_2031,2013,18504.85,A,3,2
4408,E,CPC_04,QC,T,AO_2022_2031,2014,18202.67,A,3,2
4409,E,CPC_04,QC,T,AO_2022_2031,2015,18584.05,A,3,2
4410,E,CPC_04,QC,T,AO_2022_2031,2016,18419.45,A,3,2
4411,E,CPC_04,QC,T,AO_2022_2031,2017,19150.44,A,3,2
4412,E,CPC_04,QC,T,AO_2022_2031,2018,19100.31,A,3,2
4413,E,CPC_04,QC,T,AO_2022_2031,2019,18568.49,A,3,2
4414,E,CPC_04,QC,T,AO_2022_2031,2020,18262.49,A,3,2
4415,E,CPC_04,QC,T,AO_2022_2031,2021,18632.8,A,3,2
4704,E,CPC_21525,QC,T,AO_2022_2031,1990,0.0,A,3,2
4705,E,CPC_21525,QC,T,AO_2022_2031,1991,716.81,A,3,2
4706,E,CPC_21525,QC,T,AO_2022_2031,1992,614.85,A,3,2
4707,E,CPC_21525,QC,T,AO_2022_2031,1993,595.55,A,3,2
4708,E,CPC_21525,QC,T,AO_2022_2031,1994,654.0,A,3,2
4709,E,CPC_21525,QC,T,AO_2022_2031,1995,741.02,A,3,2
4710,E,CPC_21525,QC,T,AO_2022_2031,1996,615.54,A,3,2
4711,E,CPC_21525,QC,T,AO_2022_2031,1997,578.23,A,3,2
