,Year,Value
0,1990,448805.382
1,1991,450298.10699999996
2,1992,688358.946
3,1993,705070.0329999999
4,1994,705611.1
5,1995,705768.6529999999
6,1996,705842.588
7,1997,705880.858
8,1998,705845.172
9,1999,705683.958
10,2000,716294.554
11,2001,716203.069
12,2002,716268.988
13,2003,716776.527
14,2004,717543.2
15,2005,718367.0530000001
16,2006,727742.739
17,2007,729282.828
18,2008,731149.925
19,2009,732799.603
20,2010,734175.705
21,2011,735479.682
22,2012,736783.981
23,2013,737894.403
24,2014,738921.411
25,2015,740032.106
26,2016,741249.962
27,2017,742397.863
28,2018,743326.7710000001
29,2019,744177.75
30,2020,744227.517
31,2021,743182.596
32,2022,743106.7465818452
33,2023,743125.0756177928
34,2024,743120.6464004443
35,2025,743121.716722221
