,Year,Pork,Beef_and_veal,Poultry,Sheep,Population
0,1990,21638.2,12415.74,2054.65,1809.26,448805.382
1,1991,21234.93,12311.4,8099.46,1753.56,450298.107
2,1992,20991.89,15833.92,9777.32,2051.71,688358.946
3,1993,24072.31,15307.84,9799.41,2070.24,705070.0329999999
4,1994,23715.5,14543.26,10474.86,1981.3,705611.1
5,1995,23678.54,13615.01,11014.16,1940.39,705768.6529999999
6,1996,23315.0,13149.18,11370.33,1894.99,705842.588
7,1997,23128.11,12873.88,11832.93,1797.43,705880.858
8,1998,24218.65,12574.53,12144.54,1786.36,705845.172
9,1999,24154.35,11856.89,11998.97,1759.31,705683.958
10,2000,24082.48,11771.98,11733.87,1761.18,716294.554
11,2001,24525.24,11677.7,13292.52,1625.29,716203.069
12,2002,25269.59,12124.92,13974.52,1639.33,716268.988
13,2003,25220.61,12047.42,13647.92,1633.0,716776.527
14,2004,24572.79,12177.03,14179.14,1650.99,717543.2
15,2005,24666.8,12288.56,14890.56,1673.71,718367.0530000001
16,2006,24916.89,12208.14,14901.46,1675.63,727742.739
17,2007,26155.15,12443.67,15673.1,1673.09,729282.828
18,2008,25915.14,12294.1,16216.39,1612.29,731149.925
19,2009,25384.46,11934.61,16364.67,1543.86,732799.603
20,2010,25956.11,11760.92,16509.01,1438.57,734175.705
21,2011,26148.76,11631.3,16697.25,1427.91,735479.682
22,2012,26051.85,11368.24,17712.6,1346.01,736783.981
23,2013,25964.43,10896.79,17919.97,1343.53,737894.403
24,2014,25973.09,11038.26,18492.09,1333.2,738921.411
25,2015,26340.36,10916.79,19124.52,1373.43,740032.106
26,2016,26526.7,10903.2,19689.27,1376.91,741249.962
27,2017,26705.1,10810.73,19935.89,1338.59,742397.863
28,2018,27007.08,11012.63,20477.58,1345.67,743326.7710000001
29,2019,26366.19,10818.63,20540.11,1323.69,744177.75
30,2020,26060.52,10601.35,20530.71,1292.33,744227.517
31,2021,26719.89,10560.19,20660.75,1303.06,743182.596
32,2022,26670.304161384665,10450.67123271779,21583.14310110909,1234.7357983877791,743656.3953552566
33,2023,26692.161696836167,10845.952097283436,21783.65841156563,1238.1788469445814,743715.8795886694
34,2024,26710.16525861037,10700.402599950137,21982.155589245587,1218.5053203837415,743763.4669753996
35,2025,26465.73527135443,10554.011435173341,22459.85026527748,1196.4875955682967,743801.5368847839
