,Year,Pork,Beef_and_veal,Poultry,Sheep
0,1990,21638.2,12415.74,2054.65,1809.26
1,1991,21234.93,12311.4,8099.46,1753.56
2,1992,20991.89,15833.92,9777.32,2051.71
3,1993,24072.31,15307.84,9799.41,2070.24
4,1994,23715.5,14543.26,10474.86,1981.3
5,1995,23678.54,13615.01,11014.16,1940.39
6,1996,23315.0,13149.18,11370.33,1894.99
7,1997,23128.11,12873.88,11832.93,1797.43
8,1998,24218.65,12574.53,12144.54,1786.36
9,1999,24154.35,11856.89,11998.97,1759.31
10,2000,24082.48,11771.98,11733.87,1761.18
11,2001,24525.24,11677.7,13292.52,1625.29
12,2002,25269.59,12124.92,13974.52,1639.33
13,2003,25220.61,12047.42,13647.92,1633.0
14,2004,24572.79,12177.03,14179.14,1650.99
15,2005,24666.8,12288.56,14890.56,1673.71
16,2006,24916.89,12208.14,14901.46,1675.63
17,2007,26155.15,12443.67,15673.1,1673.09
18,2008,25915.14,12294.1,16216.39,1612.29
19,2009,25384.46,11934.61,16364.67,1543.86
20,2010,25956.11,11760.92,16509.01,1438.57
21,2011,26148.76,11631.3,16697.25,1427.91
22,2012,26051.85,11368.24,17712.6,1346.01
23,2013,25964.43,10896.79,17919.97,1343.53
24,2014,25973.09,11038.26,18492.09,1333.2
25,2015,26340.36,10916.79,19124.52,1373.43
26,2016,26526.7,10903.2,19689.27,1376.91
27,2017,26705.1,10810.73,19935.89,1338.59
28,2018,27007.08,11012.63,20477.58,1345.67
29,2019,26366.19,10818.63,20540.11,1323.69
30,2020,26060.52,10601.35,20530.71,1292.33
31,2021,26719.89,10560.19,20660.75,1303.06
32,2022,26585.017578938983,10357.8950758946,20972.30329078581,1273.935264882434
33,2023,26432.79198445939,10261.758183864025,21315.797300428596,1251.8210425260104
34,2024,26377.368549466337,10154.471277851253,21650.169925936516,1230.495983454388
35,2025,26320.808347559432,10040.429806071128,21988.008308021497,1208.423460718414
