Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","008","Albania","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1990","1990","1000 No","3295.066","X","Figure from international organizations",""
"OA","Annual population","008","Albania","512","Total Population - Male","3010","Population - Est. & Proj.","1990","1990","1000 No","1676.902","X","Figure from international organizations",""
"OA","Annual population","008","Albania","513","Total Population - Female","3010","Population - Est. & Proj.","1990","1990","1000 No","1618.163","X","Figure from international organizations",""
"OA","Annual population","008","Albania","551","Rural population","3010","Population - Est. & Proj.","1990","1990","1000 No","2086.075","X","Figure from international organizations",""
"OA","Annual population","008","Albania","561","Urban population","3010","Population - Est. & Proj.","1990","1990","1000 No","1195.379","X","Figure from international organizations",""
"OA","Annual population","008","Albania","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1991","1991","1000 No","3302.081","X","Figure from international organizations",""
"OA","Annual population","008","Albania","512","Total Population - Male","3010","Population - Est. & Proj.","1991","1991","1000 No","1675.168","X","Figure from international organizations",""
"OA","Annual population","008","Albania","513","Total Population - Female","3010","Population - Est. & Proj.","1991","1991","1000 No","1626.914","X","Figure from international organizations",""
"OA","Annual population","008","Albania","551","Rural population","3010","Population - Est. & Proj.","1991","1991","1000 No","2073.348","X","Figure from international organizations",""
"OA","Annual population","008","Albania","561","Urban population","3010","Population - Est. & Proj.","1991","1991","1000 No","1202.083","X","Figure from international organizations",""
"OA","Annual population","008","Albania","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1992","1992","1000 No","3303.739","X","Figure from international organizations",""
"OA","Annual population","008","Albania","512","Total Population - Male","3010","Population - Est. & Proj.","1992","1992","1000 No","1670.55","X","Figure from international organizations",""
"OA","Annual population","008","Albania","513","Total Population - Female","3010","Population - Est. & Proj.","1992","1992","1000 No","1633.189","X","Figure from international organizations",""
"OA","Annual population","008","Albania","551","Rural population","3010","Population - Est. & Proj.","1992","1992","1000 No","2033.508","X","Figure from international organizations",""
"OA","Annual population","008","Albania","561","Urban population","3010","Population - Est. & Proj.","1992","1992","1000 No","1207.079","X","Figure from international organizations",""
"OA","Annual population","008","Albania","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1993","1993","1000 No","3300.711","X","Figure from international organizations",""
"OA","Annual population","008","Albania","512","Total Population - Male","3010","Population - Est. & Proj.","1993","1993","1000 No","1663.515","X","Figure from international organizations",""
"OA","Annual population","008","Albania","513","Total Population - Female","3010","Population - Est. & Proj.","1993","1993","1000 No","1637.195","X","Figure from international organizations",""
"OA","Annual population","008","Albania","551","Rural population","3010","Population - Est. & Proj.","1993","1993","1000 No","1983.942","X","Figure from international organizations",""
"OA","Annual population","008","Albania","561","Urban population","3010","Population - Est. & Proj.","1993","1993","1000 No","1205.641","X","Figure from international organizations",""
"OA","Annual population","008","Albania","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1994","1994","1000 No","3293.999","X","Figure from international organizations",""
"OA","Annual population","008","Albania","512","Total Population - Male","3010","Population - Est. & Proj.","1994","1994","1000 No","1654.796","X","Figure from international organizations",""
"OA","Annual population","008","Albania","513","Total Population - Female","3010","Population - Est. & Proj.","1994","1994","1000 No","1639.203","X","Figure from international organizations",""
"OA","Annual population","008","Albania","551","Rural population","3010","Population - Est. & Proj.","1994","1994","1000 No","1936.056","X","Figure from international organizations",""
"OA","Annual population","008","Albania","561","Urban population","3010","Population - Est. & Proj.","1994","1994","1000 No","1204.539","X","Figure from international organizations",""
"OA","Annual population","008","Albania","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1995","1995","1000 No","3284.364","X","Figure from international organizations",""
"OA","Annual population","008","Albania","512","Total Population - Male","3010","Population - Est. & Proj.","1995","1995","1000 No","1644.902","X","Figure from international organizations",""
"OA","Annual population","008","Albania","513","Total Population - Female","3010","Population - Est. & Proj.","1995","1995","1000 No","1639.462","X","Figure from international organizations",""
"OA","Annual population","008","Albania","551","Rural population","3010","Population - Est. & Proj.","1995","1995","1000 No","1897.862","X","Figure from international organizations",""
"OA","Annual population","008","Albania","561","Urban population","3010","Population - Est. & Proj.","1995","1995","1000 No","1208.874","X","Figure from international organizations",""
"OA","Annual population","008","Albania","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1996","1996","1000 No","3271.331","X","Figure from international organizations",""
"OA","Annual population","008","Albania","512","Total Population - Male","3010","Population - Est. & Proj.","1996","1996","1000 No","1633.759","X","Figure from international organizations",""
"OA","Annual population","008","Albania","513","Total Population - Female","3010","Population - Est. & Proj.","1996","1996","1000 No","1637.572","X","Figure from international organizations",""
"OA","Annual population","008","Albania","551","Rural population","3010","Population - Est. & Proj.","1996","1996","1000 No","1871.645","X","Figure from international organizations",""
"OA","Annual population","008","Albania","561","Urban population","3010","Population - Est. & Proj.","1996","1996","1000 No","1220.583","X","Figure from international organizations",""
"OA","Annual population","008","Albania","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1997","1997","1000 No","3253.719","X","Figure from international organizations",""
"OA","Annual population","008","Albania","512","Total Population - Male","3010","Population - Est. & Proj.","1997","1997","1000 No","1620.795","X","Figure from international organizations",""
"OA","Annual population","008","Albania","513","Total Population - Female","3010","Population - Est. & Proj.","1997","1997","1000 No","1632.924","X","Figure from international organizations",""
"OA","Annual population","008","Albania","551","Rural population","3010","Population - Est. & Proj.","1997","1997","1000 No","1854.74","X","Figure from international organizations",""
"OA","Annual population","008","Albania","561","Urban population","3010","Population - Est. & Proj.","1997","1997","1000 No","1238.301","X","Figure from international organizations",""
"OA","Annual population","008","Albania","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1998","1998","1000 No","3232.175","X","Figure from international organizations",""
"OA","Annual population","008","Albania","512","Total Population - Male","3010","Population - Est. & Proj.","1998","1998","1000 No","1606.618","X","Figure from international organizations",""
"OA","Annual population","008","Albania","513","Total Population - Female","3010","Population - Est. & Proj.","1998","1998","1000 No","1625.558","X","Figure from international organizations",""
"OA","Annual population","008","Albania","551","Rural population","3010","Population - Est. & Proj.","1998","1998","1000 No","1843.604","X","Figure from international organizations",""
"OA","Annual population","008","Albania","561","Urban population","3010","Population - Est. & Proj.","1998","1998","1000 No","1260.155","X","Figure from international organizations",""
"OA","Annual population","008","Albania","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1999","1999","1000 No","3208.26","X","Figure from international organizations",""
"OA","Annual population","008","Albania","512","Total Population - Male","3010","Population - Est. & Proj.","1999","1999","1000 No","1592.223","X","Figure from international organizations",""
"OA","Annual population","008","Albania","513","Total Population - Female","3010","Population - Est. & Proj.","1999","1999","1000 No","1616.037","X","Figure from international organizations",""
"OA","Annual population","008","Albania","551","Rural population","3010","Population - Est. & Proj.","1999","1999","1000 No","1832.914","X","Figure from international organizations",""
"OA","Annual population","008","Albania","561","Urban population","3010","Population - Est. & Proj.","1999","1999","1000 No","1282.662","X","Figure from international organizations",""
"OA","Annual population","008","Albania","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2000","2000","1000 No","3182.021","X","Figure from international organizations",""
"OA","Annual population","008","Albania","512","Total Population - Male","3010","Population - Est. & Proj.","2000","2000","1000 No","1577.591","X","Figure from international organizations",""
"OA","Annual population","008","Albania","513","Total Population - Female","3010","Population - Est. & Proj.","2000","2000","1000 No","1604.429","X","Figure from international organizations",""
"OA","Annual population","008","Albania","551","Rural population","3010","Population - Est. & Proj.","2000","2000","1000 No","1818.833","X","Figure from international organizations",""
"OA","Annual population","008","Albania","561","Urban population","3010","Population - Est. & Proj.","2000","2000","1000 No","1303.137","X","Figure from international organizations",""
"OA","Annual population","008","Albania","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2001","2001","1000 No","3153.612","X","Figure from international organizations",""
"OA","Annual population","008","Albania","512","Total Population - Male","3010","Population - Est. & Proj.","2001","2001","1000 No","1562.949","X","Figure from international organizations",""
"OA","Annual population","008","Albania","513","Total Population - Female","3010","Population - Est. & Proj.","2001","2001","1000 No","1590.663","X","Figure from international organizations",""
"OA","Annual population","008","Albania","551","Rural population","3010","Population - Est. & Proj.","2001","2001","1000 No","1797.423","X","Figure from international organizations",""
"OA","Annual population","008","Albania","561","Urban population","3010","Population - Est. & Proj.","2001","2001","1000 No","1324.985","X","Figure from international organizations",""
"OA","Annual population","008","Albania","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2002","2002","1000 No","3123.551","X","Figure from international organizations",""
"OA","Annual population","008","Albania","512","Total Population - Male","3010","Population - Est. & Proj.","2002","2002","1000 No","1548.482","X","Figure from international organizations",""
"OA","Annual population","008","Albania","513","Total Population - Female","3010","Population - Est. & Proj.","2002","2002","1000 No","1575.069","X","Figure from international organizations",""
"OA","Annual population","008","Albania","551","Rural population","3010","Population - Est. & Proj.","2002","2002","1000 No","1762.229","X","Figure from international organizations",""
"OA","Annual population","008","Albania","561","Urban population","3010","Population - Est. & Proj.","2002","2002","1000 No","1356.8","X","Figure from international organizations",""
"OA","Annual population","008","Albania","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2003","2003","1000 No","3092.991","X","Figure from international organizations",""
"OA","Annual population","008","Albania","512","Total Population - Male","3010","Population - Est. & Proj.","2003","2003","1000 No","1534.566","X","Figure from international organizations",""
"OA","Annual population","008","Albania","513","Total Population - Female","3010","Population - Est. & Proj.","2003","2003","1000 No","1558.425","X","Figure from international organizations",""
"OA","Annual population","008","Albania","551","Rural population","3010","Population - Est. & Proj.","2003","2003","1000 No","1724.344","X","Figure from international organizations",""
"OA","Annual population","008","Albania","561","Urban population","3010","Population - Est. & Proj.","2003","2003","1000 No","1386.661","X","Figure from international organizations",""
"OA","Annual population","008","Albania","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2004","2004","1000 No","3062.622","X","Figure from international organizations",""
"OA","Annual population","008","Albania","512","Total Population - Male","3010","Population - Est. & Proj.","2004","2004","1000 No","1521.272","X","Figure from international organizations",""
"OA","Annual population","008","Albania","513","Total Population - Female","3010","Population - Est. & Proj.","2004","2004","1000 No","1541.351","X","Figure from international organizations",""
"OA","Annual population","008","Albania","551","Rural population","3010","Population - Est. & Proj.","2004","2004","1000 No","1683.584","X","Figure from international organizations",""
"OA","Annual population","008","Albania","561","Urban population","3010","Population - Est. & Proj.","2004","2004","1000 No","1414.163","X","Figure from international organizations",""
"OA","Annual population","008","Albania","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2005","2005","1000 No","3032.634","X","Figure from international organizations",""
"OA","Annual population","008","Albania","512","Total Population - Male","3010","Population - Est. & Proj.","2005","2005","1000 No","1508.427","X","Figure from international organizations",""
"OA","Annual population","008","Albania","513","Total Population - Female","3010","Population - Est. & Proj.","2005","2005","1000 No","1524.207","X","Figure from international organizations",""
"OA","Annual population","008","Albania","551","Rural population","3010","Population - Est. & Proj.","2005","2005","1000 No","1640.246","X","Figure from international organizations",""
"OA","Annual population","008","Albania","561","Urban population","3010","Population - Est. & Proj.","2005","2005","1000 No","1438.933","X","Figure from international organizations",""
"OA","Annual population","008","Albania","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2006","2006","1000 No","3003.387","X","Figure from international organizations",""
"OA","Annual population","008","Albania","512","Total Population - Male","3010","Population - Est. & Proj.","2006","2006","1000 No","1496.029","X","Figure from international organizations",""
"OA","Annual population","008","Albania","513","Total Population - Female","3010","Population - Est. & Proj.","2006","2006","1000 No","1507.358","X","Figure from international organizations",""
"OA","Annual population","008","Albania","551","Rural population","3010","Population - Est. & Proj.","2006","2006","1000 No","1593.892","X","Figure from international organizations",""
"OA","Annual population","008","Albania","561","Urban population","3010","Population - Est. & Proj.","2006","2006","1000 No","1460.439","X","Figure from international organizations",""
"OA","Annual population","008","Albania","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2007","2007","1000 No","2976.084","X","Figure from international organizations",""
"OA","Annual population","008","Albania","512","Total Population - Male","3010","Population - Est. & Proj.","2007","2007","1000 No","1484.648","X","Figure from international organizations",""
"OA","Annual population","008","Albania","513","Total Population - Female","3010","Population - Est. & Proj.","2007","2007","1000 No","1491.436","X","Figure from international organizations",""
"OA","Annual population","008","Albania","551","Rural population","3010","Population - Est. & Proj.","2007","2007","1000 No","1545.166","X","Figure from international organizations",""
"OA","Annual population","008","Albania","561","Urban population","3010","Population - Est. & Proj.","2007","2007","1000 No","1478.741","X","Figure from international organizations",""
"OA","Annual population","008","Albania","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2008","2008","1000 No","2951.689","X","Figure from international organizations",""
"OA","Annual population","008","Albania","512","Total Population - Male","3010","Population - Est. & Proj.","2008","2008","1000 No","1474.662","X","Figure from international organizations",""
"OA","Annual population","008","Albania","513","Total Population - Female","3010","Population - Est. & Proj.","2008","2008","1000 No","1477.027","X","Figure from international organizations",""
"OA","Annual population","008","Albania","551","Rural population","3010","Population - Est. & Proj.","2008","2008","1000 No","1496.108","X","Figure from international organizations",""
"OA","Annual population","008","Albania","561","Urban population","3010","Population - Est. & Proj.","2008","2008","1000 No","1495.543","X","Figure from international organizations",""
"OA","Annual population","008","Albania","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2009","2009","1000 No","2930.541","X","Figure from international organizations",""
"OA","Annual population","008","Albania","512","Total Population - Male","3010","Population - Est. & Proj.","2009","2009","1000 No","1466.053","X","Figure from international organizations",""
"OA","Annual population","008","Albania","513","Total Population - Female","3010","Population - Est. & Proj.","2009","2009","1000 No","1464.488","X","Figure from international organizations",""
"OA","Annual population","008","Albania","551","Rural population","3010","Population - Est. & Proj.","2009","2009","1000 No","1449.427","X","Figure from international organizations",""
"OA","Annual population","008","Albania","561","Urban population","3010","Population - Est. & Proj.","2009","2009","1000 No","1513.208","X","Figure from international organizations",""
"OA","Annual population","008","Albania","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2010","2010","1000 No","2913.399","X","Figure from international organizations",""
"OA","Annual population","008","Albania","512","Total Population - Male","3010","Population - Est. & Proj.","2010","2010","1000 No","1459.102","X","Figure from international organizations",""
"OA","Annual population","008","Albania","513","Total Population - Female","3010","Population - Est. & Proj.","2010","2010","1000 No","1454.297","X","Figure from international organizations",""
"OA","Annual population","008","Albania","551","Rural population","3010","Population - Est. & Proj.","2010","2010","1000 No","1406.665","X","Figure from international organizations",""
"OA","Annual population","008","Albania","561","Urban population","3010","Population - Est. & Proj.","2010","2010","1000 No","1533.86","X","Figure from international organizations",""
"OA","Annual population","008","Albania","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2011","2011","1000 No","2900.654","X","Figure from international organizations",""
"OA","Annual population","008","Albania","512","Total Population - Male","3010","Population - Est. & Proj.","2011","2011","1000 No","1453.895","X","Figure from international organizations",""
"OA","Annual population","008","Albania","513","Total Population - Female","3010","Population - Est. & Proj.","2011","2011","1000 No","1446.759","X","Figure from international organizations",""
"OA","Annual population","008","Albania","551","Rural population","3010","Population - Est. & Proj.","2011","2011","1000 No","1368.297","X","Figure from international organizations",""
"OA","Annual population","008","Albania","561","Urban population","3010","Population - Est. & Proj.","2011","2011","1000 No","1558.362","X","Figure from international organizations",""
"OA","Annual population","008","Albania","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2012","2012","1000 No","2892.193","X","Figure from international organizations",""
"OA","Annual population","008","Albania","512","Total Population - Male","3010","Population - Est. & Proj.","2012","2012","1000 No","1450.37","X","Figure from international organizations",""
"OA","Annual population","008","Albania","513","Total Population - Female","3010","Population - Est. & Proj.","2012","2012","1000 No","1441.822","X","Figure from international organizations",""
"OA","Annual population","008","Albania","551","Rural population","3010","Population - Est. & Proj.","2012","2012","1000 No","1333.585","X","Figure from international organizations",""
"OA","Annual population","008","Albania","561","Urban population","3010","Population - Est. & Proj.","2012","2012","1000 No","1586.454","X","Figure from international organizations",""
"OA","Annual population","008","Albania","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2013","2013","1000 No","2887.014","X","Figure from international organizations",""
"OA","Annual population","008","Albania","512","Total Population - Male","3010","Population - Est. & Proj.","2013","2013","1000 No","1448.11","X","Figure from international organizations",""
"OA","Annual population","008","Albania","513","Total Population - Female","3010","Population - Est. & Proj.","2013","2013","1000 No","1438.905","X","Figure from international organizations",""
"OA","Annual population","008","Albania","551","Rural population","3010","Population - Est. & Proj.","2013","2013","1000 No","1302.236","X","Figure from international organizations",""
"OA","Annual population","008","Albania","561","Urban population","3010","Population - Est. & Proj.","2013","2013","1000 No","1616.742","X","Figure from international organizations",""
"OA","Annual population","008","Albania","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2014","2014","1000 No","2884.102","X","Figure from international organizations",""
"OA","Annual population","008","Albania","512","Total Population - Male","3010","Population - Est. & Proj.","2014","2014","1000 No","1446.732","X","Figure from international organizations",""
"OA","Annual population","008","Albania","513","Total Population - Female","3010","Population - Est. & Proj.","2014","2014","1000 No","1437.37","X","Figure from international organizations",""
"OA","Annual population","008","Albania","551","Rural population","3010","Population - Est. & Proj.","2014","2014","1000 No","1272.79","X","Figure from international organizations",""
"OA","Annual population","008","Albania","561","Urban population","3010","Population - Est. & Proj.","2014","2014","1000 No","1647.985","X","Figure from international organizations",""
"OA","Annual population","008","Albania","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2015","2015","1000 No","2882.481","X","Figure from international organizations",""
"OA","Annual population","008","Albania","512","Total Population - Male","3010","Population - Est. & Proj.","2015","2015","1000 No","1445.782","X","Figure from international organizations",""
"OA","Annual population","008","Albania","513","Total Population - Female","3010","Population - Est. & Proj.","2015","2015","1000 No","1436.698","X","Figure from international organizations",""
"OA","Annual population","008","Albania","551","Rural population","3010","Population - Est. & Proj.","2015","2015","1000 No","1244.341","X","Figure from international organizations",""
"OA","Annual population","008","Albania","561","Urban population","3010","Population - Est. & Proj.","2015","2015","1000 No","1679.011","X","Figure from international organizations",""
"OA","Annual population","008","Albania","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2016","2016","1000 No","2881.063","X","Figure from international organizations",""
"OA","Annual population","008","Albania","512","Total Population - Male","3010","Population - Est. & Proj.","2016","2016","1000 No","1444.664","X","Figure from international organizations",""
"OA","Annual population","008","Albania","513","Total Population - Female","3010","Population - Est. & Proj.","2016","2016","1000 No","1436.399","X","Figure from international organizations",""
"OA","Annual population","008","Albania","551","Rural population","3010","Population - Est. & Proj.","2016","2016","1000 No","1216.737","X","Figure from international organizations",""
"OA","Annual population","008","Albania","561","Urban population","3010","Population - Est. & Proj.","2016","2016","1000 No","1709.611","X","Figure from international organizations",""
"OA","Annual population","008","Albania","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 No","2879.355","X","Figure from international organizations",""
"OA","Annual population","008","Albania","512","Total Population - Male","3010","Population - Est. & Proj.","2017","2017","1000 No","1443.175","X","Figure from international organizations",""
"OA","Annual population","008","Albania","513","Total Population - Female","3010","Population - Est. & Proj.","2017","2017","1000 No","1436.18","X","Figure from international organizations",""
"OA","Annual population","008","Albania","551","Rural population","3010","Population - Est. & Proj.","2017","2017","1000 No","1190.155","X","Figure from international organizations",""
"OA","Annual population","008","Albania","561","Urban population","3010","Population - Est. & Proj.","2017","2017","1000 No","1740.032","X","Figure from international organizations",""
"OA","Annual population","008","Albania","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 No","2877.013","X","Figure from international organizations",""
"OA","Annual population","008","Albania","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 No","1441.209","X","Figure from international organizations",""
"OA","Annual population","008","Albania","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 No","1435.804","X","Figure from international organizations",""
"OA","Annual population","008","Albania","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 No","1164.388","X","Figure from international organizations",""
"OA","Annual population","008","Albania","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 No","1769.975","X","Figure from international organizations",""
"OA","Annual population","008","Albania","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2019","2019","1000 No","2873.883","X","Figure from international organizations",""
"OA","Annual population","008","Albania","512","Total Population - Male","3010","Population - Est. & Proj.","2019","2019","1000 No","1438.686","X","Figure from international organizations",""
"OA","Annual population","008","Albania","513","Total Population - Female","3010","Population - Est. & Proj.","2019","2019","1000 No","1435.198","X","Figure from international organizations",""
"OA","Annual population","008","Albania","551","Rural population","3010","Population - Est. & Proj.","2019","2019","1000 No","1139.266","X","Figure from international organizations",""
"OA","Annual population","008","Albania","561","Urban population","3010","Population - Est. & Proj.","2019","2019","1000 No","1799.162","X","Figure from international organizations",""
"OA","Annual population","008","Albania","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 No","2866.849","X","Figure from international organizations",""
"OA","Annual population","008","Albania","512","Total Population - Male","3010","Population - Est. & Proj.","2020","2020","1000 No","1433.767","X","Figure from international organizations",""
"OA","Annual population","008","Albania","513","Total Population - Female","3010","Population - Est. & Proj.","2020","2020","1000 No","1433.082","X","Figure from international organizations",""
"OA","Annual population","008","Albania","551","Rural population","3010","Population - Est. & Proj.","2020","2020","1000 No","1114.672","X","Figure from international organizations",""
"OA","Annual population","008","Albania","561","Urban population","3010","Population - Est. & Proj.","2020","2020","1000 No","1827.362","X","Figure from international organizations",""
